,primary_title,rating
1123,Rockaway,64%
1124,Highway,69%
1125,Small Apartments,30%
1126,Coffee Town,56%
1127,The Curse of Downers Grove,15%
1128,Wind Walkers,36%
1129,The Dog Lover,20%
1130,Shark Lake,16%
1131,Buried,87%
1132,Submarine,88%
1133,The Square,86%
1134,Djinns,17%
1135,The Last Exorcism,72%
1136,Beasts of the Southern Wild,87%
1137,Dysfunctional Friends,53%
1138,Independence Daysaster,15%
1139,I Spit on Your Grave,51%
1140,Dabba,97%
1141,Grace Unplugged,50%
1142,Yes,52%
1143,Two Night Stand,38%
1144,Insidious,66%
1145,Unsane,80%
1146,The To Do List,55%
1147,The Gatekeepers,94%
1148,The Lords of Salem,46%
1149,31,47%
1150,Unsullied,57%
1151,Road Hard,50%
1152,Housebound,95%
1153,Teefa in Trouble,91%
1154,Closer to the Moon,46%
1155,The Lion of Judah,0%
1156,Last I Heard,47%
1157,Mutant World,0%
1158,La chambre bleue,90%
1159,Eddie,18%
1160,Simon,67%
1161,The Algerian,71%
1162,Dear White People,91%
1163,Filly Brown,42%
1164,Da Sweet Blood of Jesus,47%
1165,Blue Like Jazz,39%
1166,Crowsnest,17%
1167,Beyond the Black Rainbow,58%
1168,The Dead Undead,13%
1169,The Vatican Exorcisms,19%
1170,The Devil Inside,6%
1171,Unfriended,62%
1172,Chernobyl Diaries,19%
1173,Blue Valentine,87%
1174,The Green Inferno,38%
1175,I Am Not Your Negro,99%
1176,The Sessions,91%
1177,October Baby,25%
1178,The Skeleton Twins,87%
1179,Obvious Child,90%
1180,Martha Marcy May Marlene,90%
1181,Wu ren qu,81%
1182,Slam,61%
1183,Palo Alto,69%
1184,The Future,72%
1185,23 Blast,36%
1186,The Act of Killing,95%
1187,I Origins,52%
1188,The Invitation,88%
1189,Hardflip,57%
1190,Creative Control,60%
1191,The Perfect Host,45%
1192,The Sisterhood of Night,80%
1193,Heli,59%
1194,Karachi se Lahore,60%
1195,American Hero,30%
1196,Black Rock,53%
1197,My Last Day Without You,45%
1198,Zombie Hunter,7%
1199,A Fine Step,45%
1200,Fear Clinic,19%
1201,Bang Bang Baby,67%
1202,Por amor en el caserio,89%
1203,Ask Me Anything,46%
1204,Food Chains,91%
1205,Fruitvale Station,94%
1206,Meet the Blacks,17%
1207,Circumstance,86%
1208,The Giant Mechanical Man,70%
1209,The Brass Teapot,32%
1210,Hamill,77%
1211,The Hammer,77%
1212,Windsor Drive,78%
1213,Not Cool,14%
1214,Kill List,78%
1215,Safety Not Guaranteed,91%
1216,The Innkeepers,79%
1217,Escape from Tomorrow,57%
1218,After,12%
1219,Treachery,22%
1220,Drunk Wedding,38%
1221,They Will Have to Kill Us First,100%
1222,Irreplaceable,91%
1223,Faith Connections,40%
1224,Beyond the Mat,82%
1225,Groove,57%
1226,Drinking Buddies,83%
1227,Never Again,31%
1228,The Other Dream Team,88%
1229,Rubber,69%
1230,Detention of the Dead,57%
1231,Higher Power,43%
1232,Drones,65%
1233,Enter Nowhere,52%
1234,Girls Gone Dead,12%
1235,The Outrageous Sophie Tucker,74%
1236,Roadside,29%
1237,Love in the Time of Monsters,74%
1238,Fight to the Finish,17%
1239,Sunday,45%
1240,As It Is in Heaven,83%
1241,Blue Ruin,96%
1242,Heroes,59%
1243,Tarnation,92%
1244,I Want Your Money,13%
1245,Jackpot,29%
1246,Arme Riddere,59%
1247,Rotor DR1,67%
1248,3 Backyards,76%
1249,Locker 13,13%
1250,All You Need Is Love,50%
1251,Some Guy Who Kills People,80%
1252,Compliance,89%
1253,Sleight,78%
1254,Like Crazy,72%
1255,November,31%
1256,Happy Valley,89%
1257,The Canyons,21%
1258,Along the Roadside,67%
1259,Rust,54%
1260,The Frozen,16%
1261,Horse Camp,57%
1262,Give Me Shelter,75%
1263,Reality Show,43%
1264,Western Religion,25%
1265,Burn,86%
1266,Swingers,87%
1267,The Grace Card,36%
1268,The Overnight,83%
1269,Middle of Nowhere,88%
1270,The Word,0%
1271,Archaeology of a Woman,43%
1272,Theresa Is a Mother,73%
1273,H.,80%
1274,Weekend,13%
1275,Another Earth,66%
1276,Sparrows Dance,92%
1277,Heroes of Dirt,85%
1278,The Fits,97%
1279,Top Spin,100%
1280,Speak No Evil,7%
1281,Aroused,31%
1282,Sound of My Voice,75%
1283,An American in Hollywood,91%
1284,The Gallows,14%
1285,A Ghost Story,91%
1286,Cheap Thrills,88%
1287,The Past is a Grotesque Animal,71%
1288,Closure,40%
1289,Tiger Orange,100%
1290,Dawn of the Crescent Moon,62%
1291,Queen Crab,0%
1292,Happy Christmas,76%
1293,Supporting Characters,86%
1294,The FP,50%
1295,Hayride,19%
1296,The Dirties,81%
1297,Tiny Furniture,80%
1298,Down and Dangerous,60%
1299,Bending Steel,100%
1300,The Image Revolution,81%
1301,This Is Martin Bonner,93%
1302,Raymond Did It,85%
1303,Foreign Letters,54%
1304,Exeter,24%
1305,Ten,87%
1306,All Superheroes Must Die,24%
1307,Stories of Our Lives,100%
1308,Newlyweds,73%
