,primary_title,rating
252,Murder on the Orient Express,90%
253,The Equalizer,59%
254,Fifty Shades Freed,11%
255,Date Night,66%
256,Muppets Most Wanted,80%
257,Kubo and the Two Strings,97%
258,Burlesque,37%
259,The Hunted,64%
260,Annihilation,88%
261,Crimson Peak,73%
262,Bullet to the Head,45%
263,Zero Dark Thirty,91%
264,22 Jump Street,85%
265,Central Intelligence,71%
266,Super 8,81%
267,Creed II,83%
268,The Mule,50%
269,La mula,50%
270,The Emoji Movie,7%
271,The Post,88%
272,We Bought a Zoo,65%
273,Moneyball,94%
274,American Reunion,80%
275,The Book of Life,82%
276,Into the Storm,62%
277,The Nice Guys,92%
278,Marmaduke,9%
279,Hereafter,47%
280,Zoolander 2,22%
281,The Host,9%
282,Run All Night,59%
283,Your Highness,28%
284,Snowden,61%
285,Dream House,9%
286,Free State of Jones,47%
287,Gamer,30%
288,Beautiful Creatures,38%
289,Drive Angry,47%
290,Domino,18%
291,Early Man,80%
292,Child 44,27%
293,Shanghai,4%
294,The One,14%
295,Chappie,33%
296,Anna Karenina,71%
297,Panic Room,75%
298,Taken 3,13%
299,Instant Family,81%
300,Three Kings,94%
301,Tooth Fairy,25%
302,Rambo,77%
303,The Infiltrator,72%
304,Jonah Hex,12%
305,Taken 2,22%
306,Pitch Perfect 3,29%
307,The Muppets,95%
308,The Girl on the Train,76%
309,Office Christmas Party,41%
310,Savages,89%
311,Blended,14%
312,UglyDolls,27%
313,The Pledge,78%
314,Rebound,14%
315,Dredd,79%
316,Welcome to Marwen,34%
317,Johnny English Reborn,38%
318,Pinocchio,0%
319,The Heat,66%
320,A Monster Calls,86%
321,The Mechanic,53%
322,21 Jump Street,86%
323,Here Comes the Boom,41%
324,One for the Money,2%
325,Man on a Ledge,32%
326,The Big Year,42%
327,Fifty Shades of Grey,25%
328,The Proposal,26%
329,American Hustle,92%
330,Lucy,17%
331,Lone Survivor,75%
332,The Social Network,96%
333,Ride Along 2,13%
334,Get Hard,28%
335,Dumb and Dumber To,30%
336,The Intern,60%
337,Bridge of Spies,90%
338,Hacksaw Ridge,84%
339,Unknown,38%
340,Get Him to the Greek,72%
341,The Lincoln Lawyer,83%
342,Horrible Bosses 2,34%
343,The Odd Life of Timothy Green,36%
344,Jersey Boys,51%
345,Final Destination 5,62%
346,Viudas,32%
347,Widows,20%
348,Sex Tape,16%
349,Scream 4,60%
350,Paul,70%
351,The Guilt Trip,37%
352,Colombiana,28%
353,The Commuter,56%
354,Morning Glory,64%
355,Long Shot,85%
356,Grudge Match,31%
357,Huset,22%
358,Big Miracle,75%
359,A Thousand Words,0%
360,The Hurricane Heist,47%
361,Snowpiercer,94%
362,The Last Shot,62%
363,Nomad,6%
364,Kursk,69%
365,Serenity,82%
366,Why Him?,39%
367,Water for Elephants,60%
368,Riddick,57%
369,The Upside,42%
370,Creed,95%
371,The Town,93%
372,Dolphin Tale,81%
373,Game Night,85%
374,Cop Out,19%
375,The Rite,21%
376,Hot Tub Time Machine,64%
377,Dolphin Tale 2,66%
378,Collateral Beauty,14%
379,There Be Dragons,12%
380,Queen of the Desert,18%
381,True Grit,89%
382,Rush Hour,61%
383,Identity Thief,19%
384,Horrible Bosses,69%
385,Trainwreck,85%
386,21,17%
387,Sky High,56%
388,A Nightmare on Elm Street,94%
389,Secretariat,63%
390,Friends with Benefits,69%
391,Radio,35%
392,Poltergeist,85%
393,12 Strong,50%
394,In Time,37%
395,Mile 22,23%
396,Concussion,75%
397,Closer,68%
398,Adrift,69%
399,Abduction,44%
400,Alex Cross,11%
401,Whiskey Tango Foxtrot,68%
402,Premium Rush,74%
403,Broken City,28%
404,Zoom,4%
405,Grimsby,38%
406,Biutiful,66%
407,A Hologram for the King,71%
408,Stolen,67%
409,Trespass,69%
410,The Lovers,90%
411,The Darkest Hour,12%
412,Baby Driver,92%
413,The Maze Runner,65%
414,The Longest Ride,31%
415,The Darkest Minds,16%
416,The House of Magic,73%
417,Mike and Dave Need Wedding Dates,38%
418,Step Up Revolution,41%
419,The Watcher,18%
420,Safe,86%
421,Doomsday,51%
422,Freaks of Nature,45%
423,Bridesmaids,64%
424,The Big Wedding,7%
425,Takers,28%
426,Source Code,92%
427,I Feel Pretty,35%
428,The Incredible Burt Wonderstone,38%
429,Bad Times at the El Royale,75%
430,The Grand Budapest Hotel,91%
431,Frequency,70%
432,Extraordinary Measures,29%
433,Birth of the Dragon,23%
434,Crazy Rich Asians,91%
435,Big Daddy,39%
436,The Butler,72%
437,Looper,93%
438,Warm Bodies,81%
439,The Nut Job,13%
440,Hope Springs,23%
441,Midnight in Paris,93%
442,Life of the Party,39%
443,Letters to Juliet,42%
444,Message in a Bottle,32%
445,Southpaw,69%
446,Sicario,92%
447,Den of Thieves,41%
448,John Wick,87%
449,The Age of Adaline,54%
450,Step Up 3D,47%
451,The Cabin in the Woods,92%
452,Hanna,71%
453,La familia,91%
454,Larry Crowne,37%
455,Carrie,50%
456,Death Wish,68%
457,Entourage,33%
458,Side Effects,11%
459,Deliver Us from Evil,100%
460,Get on Up,80%
461,White Boy Rick,58%
462,Sanctum,29%
463,The Next Three Days,50%
464,Proud Mary,26%
465,Runner Runner,8%
466,Steve Jobs,100%
467,Dead Man Down,40%
468,The Lost City of Z,86%
469,The Space Between Us,16%
